year,origin,amount
1989,AVP,1983
1989,EVV,2443
1989,ELM,1912
1989,LEX,7497
1989,ORH,2951
1989,BGM,2102
1989,TRI,2776
1989,CRW,4141
1989,TOL,3422
1989,MYR,4241
1989,ITH,1252
1989,GSP,8652
1989,HTS,2268
1989,ACY,654
1989,BLI,1605
1989,SCK,955
1989,RDM,319
1989,CCR,1285
1989,YKM,234
1989,DAL,34963
1989,LBB,9316
1989,CRP,5880
1989,AMA,6342
1989,HRL,6560
1989,MAF,8288
1989,DET,5712
1989,VPS,1091
1989,AZO,3446
1989,FWA,4753
1989,DLH,1518
1989,ATW,701
1989,GRB,2916
1989,BIS,4039
1989,GPT,1035
1989,LAN,3194
1989,GFK,1146
1989,RST,2913
1989,BZN,3774
1989,EAU,426
1989,LSE,1336
1989,MOT,1909
1989,MOB,6961
1989,MSO,2504
1989,BTR,8684
1989,CHA,4995
1989,SHV,7209
1989,MGM,2590
1989,PFN,15
1989,HDN,631
1989,SBN,2711
1989,STT,2029
1989,STX,2347
1989,FAY,3225
1989,AVL,2334
1989,CAK,3100
1989,OAJ,1264
1989,TLH,8106
1989,ROA,3915
1989,ILM,3139
1989,AGS,3086
1989,DAB,5974
1989,FNT,1169
1989,ISO,1037
1989,CHO,1647
1989,CMI,1573
1989,LYH,1114
1989,UCA,1006
1989,PNS,6996
1989,EYW,2125
1989,APF,114
1989,GNV,2890
1989,SJU,17075
1989,PUB,1634
1989,MLU,2478
1989,MLB,4637
1989,CSG,1004
1989,CPR,1078
1989,IDA,2044
1989,JAC,1669
1989,HLN,1073
1989,FCA,717
1989,JNU,3580
1989,BTM,705
1989,DRO,751
1989,GJT,1415
1989,YUM,1700
1989,FLG,2445
1989,GCN,1383
1989,PIE,267
1989,TVL,969
1989,BFL,958
1989,GUC,259
1989,BET,574
1989,OME,947
1989,OTZ,875
1989,SCC,529
1989,KTN,2172
1989,CDV,677
1989,YAK,645
1989,SIT,1354
1989,PSG,639
1989,WRG,638
1989,GUM,2067
1989,MFE,1721
1989,LFT,1231
1989,YAP,285
1989,ROR,510
1989,SPN,1475
1989,ROP,39
1989,TVC,201
1989,ABI,2
1989,GST,87
1989,EGE,11
1989,SUN,15
1990,CMH,27099
1990,IND,43826
1990,LAX,169847
1990,PHL,82321
1990,PIT,117795
1990,SFO,130342
1990,BDL,29517
1990,MSY,45439
1990,EWR,117938
1990,BWI,69848
1990,MCI,46567
1990,SAN,60695
1990,MDT,7403
1990,MCO,76507
1990,LGA,106448
1990,PSP,6219
1990,TPA,59029
1990,IAD,52337
1990,DAY,35371
1990,CLE,69408
1990,ABE,6010
1990,ISP,5744
1990,BUR,25635
1990,DCA,86835
1990,PHX,138558
1990,FLL,39704
1990,PVD,15600
1990,ABQ,31893
1990,TUS,19121
1990,TYS,8731
1990,LAS,86219
1990,MIA,77388
1990,SYR,23377
1990,DTW,120331
1990,BOS,94092
1990,EVV,2173
1990,BTV,7076
1990,PBI,27171
1990,OAK,36437
1990,ERI,1919
1990,ONT,36898
1990,PDX,41897
1990,ROC,21018
1990,CLT,115470
1990,SEA,79618
1990,SNA,28679
1990,GRR,10740
1990,DFW,237924
1990,AVP,3106
1990,IAH,91175
1990,ORD,269128
1990,JFK,47153
1990,RIC,16886
1990,RNO,17802
1990,BUF,25890
1990,TOL,2857
1990,SAV,9831
1990,SMF,25273
1990,RDU,59925
1990,CVG,63610
1990,STL,126694
1990,PHF,1060
1990,MKE,25201
1990,ALB,13713
1990,BNA,53761
1990,MEM,62750
1990,FWA,3982
1990,ELM,1533
1990,CRW,3179
1990,ATL,269397
1990,JAX,22177
1990,ORH,2372
1990,MSP,102298
1990,SDF,20358
1990,LEX,5672
1990,BGM,2131
1990,CAE,11515
1990,CHS,13622
1990,MHT,4575
1990,MYR,3462
1990,BHM,18127
1990,MDW,21418
1990,ORF,25814
1990,ITH,1085
1990,GSO,19917
1990,GSP,10476
1990,TRI,2505
1990,RSW,19675
1990,PWM,8381
1990,SRQ,14505
1990,AVL,2320
1990,LGB,12708
1990,SJC,44219
1990,ACY,760
1990,HTS,1824
1990,ICT,12662
1990,BLI,1903
1990,SBN,2533
1990,AZO,3387
1990,ROA,4433
1990,DAB,7324
1990,CAK,3764
1990,SJU,19057
1990,CHO,1856
1990,FNT,1081
1990,UCA,1048
1990,DEN,137179
1990,TLH,8670
1990,LYH,711
1990,CMI,1076
1990,EYW,2106
1990,FAY,2994
1990,ILM,2732
1990,PNS,8702
1990,ISO,718
1990,MLB,5725
1990,AGS,3136
1990,GNV,3708
1990,LAN,3003
1990,SAT,36980
1990,CHA,4988
1990,OAJ,1064
1990,AUS,28397
1990,FAT,6647
1990,SCK,888
1990,CCR,1303
1990,MRY,2244
1990,EUG,3327
1990,MFR,1865
1990,DAL,37053
1990,HOU,58534
1990,AMA,6391
1990,LIT,14829
1990,HRL,6697
1990,TUL,23864
1990,CRP,6483
1990,OKC,24148
1990,LBB,9679
1990,MAF,8002
1990,ELP,26664
1990,DET,6890
1990,DLH,1741
1990,FSD,6011
1990,BIS,3864
1990,ATW,266
1990,GRB,3067
1990,FAR,2688
1990,MBS,3701
1990,BIL,5367
1990,BZN,3954
1990,DSM,10148
1990,RST,2892
1990,MSN,7146
1990,OMA,17046
1990,CID,5347
1990,LSE,1349
1990,MOT,1979
1990,GFK,1267
1990,BTR,8623
1990,GEG,10322
1990,RAP,2601
1990,JAN,8783
1990,SLC,69345
1990,GTF,3234
1990,MSO,2481
1990,MOB,8789
1990,VPS,1077
1990,GPT,1057
1990,HSV,8311
1990,HPN,2625
1990,SHV,6811
1990,HDN,589
1990,TVC,529
1990,HNL,17788
1990,STT,2500
1990,STX,2574
1990,COS,10393
1990,SUX,2475
1990,LNK,4839
1990,PUB,1773
1990,MLI,3653
1990,SGF,1706
1990,PIA,1933
1990,ANC,14490
1990,FAI,3494
1990,KOA,686
1990,OGG,3004
1990,SBA,4398
1990,BGR,2463
1990,BOI,6454
1990,LIH,353
1990,MGM,2421
1990,MLU,2487
1990,CSG,1039
1990,CPR,1081
1990,HLN,919
1990,JAC,1706
1990,FCA,716
1990,GUC,348
1990,PSC,1084
1990,IDA,1952
1990,BTM,717
1990,JNU,3652
1990,DRO,988
1990,GJT,1436
1990,PMD,1540
1990,EGE,156
1990,SUN,66
1990,YUM,1658
1990,FLG,2366
1990,GCN,1355
1990,BFL,1713
1990,TVL,888
1990,BET,589
1990,OME,994
1990,OTZ,901
1990,SCC,533
1990,KTN,2226
1990,CDV,691
1990,YAK,661
1990,SIT,1380
1990,PSG,678
1990,WRG,680
1990,RDM,112
1990,GUM,2414
1990,LFT,1135
1990,MFE,1763
1990,YAP,139
1990,ROR,358
1990,SPN,1837
1990,SWF,1916
1990,GST,86
1990,ROP,254
1990,EFD,730
1990,PSE,61
1991,TPA,53963
1991,CLE,59037
1991,MDW,50676
1991,PIT,117224
1991,BUF,25212
1991,BNA,61555
1991,RNO,19774
1991,SFO,123999
1991,CLT,122069
1991,MYR,3302
1991,BWI,62283
1991,IND,42890
1991,MCI,48596
1991,SAN,59491
1991,EWR,113779
1991,CHS,10527
1991,PBI,24171
1991,LEX,5261
1991,CVG,66313
1991,SMF,27129
1991,STL,119900
1991,MCO,80685
1991,TLH,7118
1991,DAY,33738
1991,MDT,7893
1991,SYR,23286
1991,ACY,934
1991,AVP,1919
1991,ISP,5866
1991,GSO,17593
1991,ORF,22611
1991,ICT,11706
1991,BOS,91360
1991,PHL,83113
1991,PWM,8507
1991,ORD,263145
1991,FLL,34911
1991,LAX,156947
1991,CRW,2757
